DateTimeStamp        , Code                                                       , Nr., Start    , End      , Done , Produ, Azure, BinCh,  Duration, Total, Log , Error , Tolerance , link
2021.01.04 18:44:02  , RenamePreviousVersion                                      , 2  , 18:44:01 , 18:44:02 , True , False, False, False,         1,      ,    1,      0,          0, , 
2021.01.04 18:44:03  , CreateNewSolutionInit                                      , 3  , 18:44:03 , 18:44:04 , True , False, False, False,         1,      ,    1,      0,          0, , 
2021.01.04 18:44:05  , CreateLocalDatabase                                        , 4  , 18:44:05 , 18:44:10 , True , False, False, False,         5,      ,    1,      0,          0, , 
2021.01.04 18:44:11  , CreateAzureDatabase                                        , 5  , 18:44:11 , 18:44:29 , True , True , False, False,        17,      ,   17,      0,          0, http:\\www.azure.com, 
2021.01.04 18:44:30  , CopyTailoredBeforePrototypes                               , 6  , 18:44:30 , 18:44:32 , True , False, False, False,         2,      ,    2,      0,          0, C:\SQL2XProjects\SolutionNorSolutionPort.Keep, C:\SQL2XProjects
2021.01.04 18:44:33  , CreateDatabaseManager                                      , 7  , 18:44:33 , 18:44:40 , True , False, False, False,         8,      ,   31,      0,          3, C:\SQL2XProjects\SolutionNorSolutionPort\Database\default test from sql2x.sql, C:\SQL2XProjects\SolutionNorSolutionPort\Database
2021.01.04 18:44:42  , ExecuteDatabaseManager                                     , 8  , 18:44:42 , 18:44:53 , True , False, False, False,        12,      ,   83,      0,          0, , 
2021.01.04 18:44:55  , CreateSolutionInit                                         , 9  , 18:44:55 , 18:44:59 , True , False, False, False,         5,      ,    2,      0,          0, , 
2021.01.04 18:45:01  , CreateAzureDatabaseSecond                                  , 10 , 18:45:00 , 18:45:02 , True , False, False, False,         1,      ,    1,      0,          0, , 
2021.01.04 18:45:03  , CreateSolutionDatabase                                     , 11 , 18:45:03 , 18:45:05 , True , False, False, False,         2,      ,   17,      0,          0, , 
2021.01.04 18:45:07  , CreateTestPointsFile                                       , 12 , 18:45:06 , 18:45:08 , True , False, False, False,         1,      ,    1,      0,          0, C:\SQL2XProjects\SolutionNorSolutionPort\C:\SQL2XProjects\SolutionNorSolutionPort\testPoints.html, C:\SQL2XProjects\SolutionNorSolutionPort\C:\SQL2XProjects\SolutionNorSolutionPort
2021.01.04 18:45:09  , TranslateCruds                                             , 13 , 18:45:09 , 18:45:10 , False, False, False, False,         1,      ,    1,      0,          0, , 
2021.01.04 18:45:11  , TranslateVerbs                                             , 14 , 18:45:11 , 18:45:12 , False, False, False, False,         1,      ,    1,      0,          0, , 
2021.01.04 18:45:14  , TranslateDurians                                           , 15 , 18:45:14 , 18:45:15 , False, False, False, False,         1,      ,    1,      0,          0, , 
